away_line,away_line_num,away_line_odds,away_money_line_num,away_money_line_odds,away_score,away_team,date,home_line,home_line_num,home_line_odds,home_money_line_num,home_money_line_odds,home_score,home_team,id,over_num,over_odds,over_under,under_num,under_odds
+10.5,511,1.75,,,90,波特蘭拓荒者,20151217,-10.5,568,1.75,,,106,奧克拉荷馬雷霆,406,366,1.75,208.5,330,1.75
+13.5,516,1.75,,,106,費城76人,20151217,-13.5,615,1.75,,,127,亞特蘭大老鷹,407,188,1.75,197.5,513,1.75
+4.5,526,1.75,99,2.15,85,曼斐斯灰熊,20151217,-4.5,636,1.75,318,1.45,98,芝加哥公牛,405,182,1.75,193.5,480,1.75
+13.5,523,1.75,,,95,華盛頓巫師,20151217,-13.5,824,1.75,,,114,聖安東尼奧馬刺,408,247,1.75,197.5,386,1.75
+3.5,481,1.75,109,2.15,104,紐奧良鵜鶘,20151217,-3.5,777,1.75,340,1.45,94,猶他爵士,409,232,1.75,200.5,415,1.75
+11.5,418,1.75,,,90,密爾瓦基公鹿,20151217,-11.5,305,1.75,,,103,洛杉磯快艇,410,181,1.75,198.5,149,1.75
+13.5,460,1.75,,,103,鳳凰城太陽,20151217,-13.5,1043,1.75,,,128,金州勇士,411,596,1.75,220.5,309,1.75
-2.5,1190,1.75,570,1.55,89,克里夫蘭騎士,20151216,+2.5,946,1.75,290,1.95,77,波士頓塞爾提克,484,635,1.75,202.5,545,1.75
+6.5,621,1.75,110,2.85,112,丹佛金塊,20151216,-6.5,972,1.75,506,1.25,100,明尼蘇達灰狼,485,410,1.75,204.5,370,1.75
+1.5,861,1.75,391,1.85,97,休士頓火箭,20151216,-1.5,896,1.75,397,1.65,107,沙加緬度國王,486,423,1.75,219.5,583,1.75
-5.5,1092,1.75,515,1.35,95,密爾瓦基公鹿,20151216,+5.5,976,1.75,225,2.45,113,洛杉磯湖人,487,513,1.75,198.5,478,1.75
+4.5,736,1.75,137,2.45,90,多倫多暴龍,20151215,-4.5,852,1.75,467,1.35,106,印第安那溜馬,474,400,1.75,200.5,501,1.75
-2.5,949,1.75,414,1.55,105,洛杉磯快艇,20151215,+2.5,598,1.75,200,1.95,103,底特律活塞,475,369,1.75,204.5,219,1.75
-3.5,904,1.75,396,1.5,105,奧蘭多魔術,20151215,+3.5,595,1.75,167,2.05,82,布魯克林籃網,476,229,1.75,197.5,329,1.75
+3.5,470,1.75,111,2.15,95,華盛頓巫師,20151215,-3.5,865,1.75,412,1.45,112,曼斐斯灰熊,477,255,1.75,199.5,366,1.75
+13.5,592,1.75,,,96,費城76人,20151215,-13.5,537,1.75,,,115,芝加哥公牛,479,290,1.75,193.5,508,1.75
+6.5,437,1.75,57,2.85,100,邁阿密熱火,20151215,-6.5,495,1.75,274,1.25,88,亞特蘭大老鷹,478,195,1.75,191.5,202,1.75
+12.5,762,1.75,,,81,猶他爵士,20151215,-12.5,565,1.75,,,118,聖安東尼奧馬刺,481,338,1.75,186.5,319,1.75
+5.5,462,1.75,76,2.45,94,鳳凰城太陽,20151215,-5.5,641,1.75,357,1.35,104,達拉斯小牛,480,134,1.75,210.5,103,1.75
-5.5,657,1.75,362,1.3,108,休士頓火箭,20151215,+5.5,548,1.75,103,2.6,114,丹佛金塊,482,340,1.75,210.5,230,1.75
+4.5,686,1.75,177,2.15,101,紐奧良鵜鶘,20151215,-4.5,691,1.75,343,1.45,105,波特蘭拓荒者,483,158,1.75,210.5,161,1.75
+5.5,987,1.75,124,2.6,101,明尼蘇達灰狼,20151214,-5.5,638,1.75,351,1.3,108,鳳凰城太陽,470,499,1.75,210.5,348,1.75
+12.5,661,1.75,,,76,費城76人,20151214,-12.5,896,1.75,,,96,多倫多暴龍,471,458,1.75,193.5,388,1.75
+2.5,943,1.75,209,1.95,97,曼斐斯灰熊,20151214,-2.5,767,1.75,357,1.55,100,邁阿密熱火,472,347,1.75,188.5,580,1.75
+8.5,877,1.75,65,3.5,98,猶他爵士,20151214,-8.5,841,1.75,581,1.15,104,奧克拉荷馬雷霆,473,606,1.75,203.5,505,1.75
-6.5,643,1.75,430,1.25,105,洛杉磯快艇,20151213,+6.5,663,1.75,61,2.85,100,布魯克林籃網,461,269,1.75,204.5,260,1.75
+3.5,704,1.8,181,2.05,98,波士頓塞爾提克,20151213,-3.5,1118,1.7,517,1.5,93,夏洛特黃蜂,462,439,1.75,202.5,453,1.75
+1.5,925,1.75,375,1.75,96,印第安那溜馬,20151213,-1.5,568,1.75,241,1.75,118,底特律活塞,463,408,1.75,204.5,236,1.75
+11.5,748,1.75,,,97,洛杉磯湖人,20151213,-11.5,442,1.75,,,126,休士頓火箭,464,272,1.75,211.5,320,1.75
+7.5,596,1.75,62,3.1,94,紐奧良鵜鶘,20151213,-7.5,581,1.75,435,1.2,98,芝加哥公牛,465,201,1.75,201.5,442,1.75
-4.5,1014,1.75,498,1.45,103,聖安東尼奧馬刺,20151213,+4.5,536,1.75,110,2.15,78,亞特蘭大老鷹,466,379,1.75,192.5,256,1.75
-10.5,725,1.75,,,95,金州勇士,20151213,+10.5,367,1.75,,,108,密爾瓦基公鹿,468,295,1.75,206.5,127,1.75
+6.5,467,1.75,60,2.85,114,華盛頓巫師,20151213,-6.5,471,1.75,323,1.25,111,達拉斯小牛,467,166,1.75,205.5,214,1.75
+4.5,675,1.75,146,2.15,112,紐約尼克,20151213,-4.5,718,1.75,386,1.45,110,波特蘭拓荒者,469,269,1.75,198.5,339,1.75
+6.5,358,1.75,61,2.6,83,邁阿密熱火,20151212,-6.5,727,1.75,421,1.3,96,印第安那溜馬,452,140,1.75,197.5,252,1.75
-8.5,650,1.75,525,1.12,107,底特律活塞,20151212,+8.5,652,1.75,47,3.75,95,費城76人,451,342,1.75,192.5,307,1.75
-3.5,840,1.75,427,1.4,111,克里夫蘭騎士,20151212,+3.5,849,1.75,182,2.3,76,奧蘭多魔術,450,326,1.75,197.5,580,1.75
+8.5,465,1.75,44,3.5,83,密爾瓦基公鹿,20151212,-8.5,741,1.75,518,1.15,90,多倫多暴龍,453,351,1.75,192.5,244,1.75
-6.5,873,1.75,544,1.25,124,金州勇士,20151212,+6.5,409,1.75,49,2.85,119,波士頓塞爾提克,454,273,1.75,215.5,164,1.75
+3.5,488,1.75,153,2.15,105,華盛頓巫師,20151212,-3.5,812,1.75,367,1.45,107,紐奧良鵜鶘,455,231,1.75,211.5,478,1.75
+2.5,746,1.75,223,2.05,123,夏洛特黃蜂,20151212,-2.5,817,1.75,360,1.5,99,曼斐斯灰熊,456,309,1.75,193.5,329,1.75
-1.5,893,1.85,390,1.7,108,明尼蘇達灰狼,20151212,+1.5,416,1.65,173,1.8,111,丹佛金塊,458,309,1.75,202.5,251,1.75
-4.5,648,1.75,322,1.4,94,奧克拉荷馬雷霆,20151212,+4.5,493,1.75,87,2.3,90,猶他爵士,457,248,1.75,204.5,162,1.75
+5.5,637,1.75,111,2.45,106,波特蘭拓荒者,20151212,-5.5,640,1.75,379,1.35,96,鳳凰城太陽,459,529,1.75,210.5,227,1.75
+15.5,433,1.75,,,87,洛杉磯湖人,20151212,-15.5,808,1.75,,,109,聖安東尼奧馬刺,460,285,1.75,193.5,447,1.75
+8.5,1133,1.75,80,3.1,91,費城76人,20151211,-8.5,793,1.75,584,1.2,100,布魯克林籃網,446,398,1.75,197.5,709,1.75
+7.5,828,1.75,71,3.1,94,亞特蘭大老鷹,20151211,-7.5,822,1.75,568,1.2,107,奧克拉荷馬雷霆,448,423,1.75,211.5,448,1.75
-1.5,992,1.85,455,1.75,80,洛杉磯快艇,20151211,+1.5,1106,1.65,520,1.75,83,芝加哥公牛,447,635,1.75,203.5,534,1.75
+6.5,971,1.75,142,2.7,97,紐約尼克,20151211,-6.5,809,1.75,466,1.28,99,沙加緬度國王,449,434,1.75,209.5,451,1.75
+3.5,884,1.75,317,1.95,100,芝加哥公牛,20151210,-3.5,879,1.75,390,1.55,105,波士頓塞爾提克,437,423,1.75,201.5,308,1.75
-1.5,983,1.85,412,1.75,81,邁阿密熱火,20151210,+1.5,948,1.65,413,1.75,99,夏洛特黃蜂,436,499,1.75,193.5,450,1.75
+3.5,408,1.75,132,2.15,109,休士頓火箭,20151210,-3.5,536,1.75,270,1.45,103,華盛頓巫師,438,275,1.75,213.5,251,1.75
-6.5,1010,1.7,535,1.3,94,聖安東尼奧馬刺,20151210,+6.5,737,1.8,110,2.6,97,多倫多暴龍,439,362,1.75,189.5,200,1.75
+4.5,464,1.75,138,2.15,93,曼斐斯灰熊,20151210,-4.5,520,1.75,239,1.45,92,底特律活塞,440,196,1.75,193.5,253,1.75
+7.5,694,1.75,101,3.1,122,洛杉磯湖人,20151210,-7.5,742,1.75,468,1.2,123,明尼蘇達灰狼,441,399,1.75,204.5,279,1.75
-5.5,654,1.75,373,1.3,109,洛杉磯快艇,20151210,+5.5,874,1.75,138,2.6,95,密爾瓦基公鹿,442,427,1.75,201.5,210,1.75
+3.5,444,1.75,130,2.15,85,紐約尼克,20151210,-3.5,619,1.75,276,1.45,106,猶他爵士,443,216,1.75,191.5,245,1.75
+4.5,535,1.75,116,2.3,104,奧蘭多魔術,20151210,-4.5,494,1.75,290,1.4,107,鳳凰城太陽,444,364,1.75,206.5,134,1.75
-1.5,720,1.85,273,1.7,98,亞特蘭大老鷹,20151210,+1.5,920,1.65,432,1.8,95,達拉斯小牛,445,403,1.75,202.5,300,1.75
-6.5,1259,1.75,692,1.25,131,金州勇士,20151209,+6.5,865,1.75,132,2.85,123,印第安那溜馬,431,736,1.7,216.5,481,1.8
+8.5,981,1.75,68,3.75,100,波特蘭拓荒者,20151209,-8.5,734,1.75,606,1.12,105,克里夫蘭騎士,430,400,1.75,199.5,385,1.75
-6.5,961,1.75,485,1.35,105,休士頓火箭,20151209,+6.5,884,1.75,148,2.45,110,布魯克林籃網,432,392,1.75,206.5,348,1.75
-2.5,987,1.75,405,1.6,125,奧克拉荷馬雷霆,20151209,+2.5,806,1.75,278,1.9,88,曼斐斯灰熊,433,422,1.75,202.5,479,1.75
-4.5,762,1.75,338,1.45,85,奧蘭多魔術,20151209,+4.5,481,1.75,134,2.15,74,丹佛金塊,434,315,1.75,199.5,197,1.75
+2.5,900,1.75,378,1.85,106,猶他爵士,20151209,-2.5,1013,1.75,426,1.65,114,沙加緬度國王,435,376,1.75,204.5,515,1.75
+3.5,749,1.75,181,2.15,84,底特律活塞,20151208,-3.5,1097,1.75,513,1.45,104,夏洛特黃蜂,421,556,1.75,198.5,394,1.75
-12.5,663,1.75,,,119,聖安東尼奧馬刺,20151208,+12.5,369,1.75,,,68,費城76人,422,246,1.75,188.5,247,1.75
-2.5,508,1.75,217,1.7,104,達拉斯小牛,20151208,+2.5,478,1.75,153,1.8,97,紐約尼克,425,263,1.75,198.5,141,1.75
+12.5,757,1.75,,,93,洛杉磯湖人,20151208,-12.5,609,1.75,,,102,多倫多暴龍,423,409,1.75,199.5,317,1.75
+9.5,491,1.75,28,3.75,114,華盛頓巫師,20151208,-9.5,421,1.75,318,1.12,103,邁阿密熱火,424,213,1.75,192.5,293,1.75
