AwayEFG,AwayFT/FGA,AwayORB,AwayScore,AwayTOV,HomeEFG,HomeFT/FGA,HomeORB,HomeScore,HomeTOV,pace,url
0.526,0.195,17.5,96,8.5,0.592,0.138,32.6,115,7.7,87,http://www.basketball-reference.com/boxscores/201511050POR.html
0.455,0.205,20.8,98,19.7,0.515,0.186,30,118,13.7,107.9,http://www.basketball-reference.com/boxscores/201511060BOS.html
0.468,0.397,13.5,104,13.6,0.446,0.161,28.6,98,12.8,101.1,http://www.basketball-reference.com/boxscores/201511060BRK.html
0.582,0.127,17.1,102,15.7,0.568,0.091,26.2,108,15.4,95.9,http://www.basketball-reference.com/boxscores/201511060CLE.html
0.467,0.196,18.4,104,15.7,0.586,0.108,27.1,119,16.5,108,http://www.basketball-reference.com/boxscores/201511060GSW.html
0.481,0.111,17.1,87,11.3,0.481,0.163,21.4,90,11.7,90.2,http://www.basketball-reference.com/boxscores/201511060IND.html
0.591,0.39,18.8,121,14,0.56,0.25,14.6,115,11.3,98.9,http://www.basketball-reference.com/boxscores/201511060NOP.html
0.451,0.321,31,99,11.3,0.432,0.272,33.3,92,13.8,89.7,http://www.basketball-reference.com/boxscores/201511060NYK.html
0.378,0.256,30.6,87,8.4,0.487,0.221,17.1,92,12.2,89,http://www.basketball-reference.com/boxscores/201511060ORL.html
0.554,0.243,14.6,100,14.3,0.457,0.087,21.2,92,14.1,99.2,http://www.basketball-reference.com/boxscores/201511060PHO.html
0.579,0.256,32.6,116,18.3,0.478,0.226,28.6,110,12.4,101.3,http://www.basketball-reference.com/boxscores/201511060SAC.html
0.538,0.192,21.6,99,21.9,0.538,0.163,23.3,114,12.4,99.7,http://www.basketball-reference.com/boxscores/201511070ATL.html
0.443,0.177,25.9,102,12.2,0.414,0.172,18.5,93,14.9,97,http://www.basketball-reference.com/boxscores/201511070CHI.html
0.506,0.128,16.3,98,11.6,0.53,0.214,14.6,107,8.8,95,http://www.basketball-reference.com/boxscores/201511070DAL.html
0.483,0.302,26.8,109,12.4,0.5,0.193,23.4,105,10.8,98.2,http://www.basketball-reference.com/boxscores/201511070LAC.html
0.433,0.183,35.4,86,16.6,0.5,0.146,22.2,94,14.4,91.1,http://www.basketball-reference.com/boxscores/201511070MIL.html
0.506,0.253,26.3,105,12.2,0.519,0.175,24.4,97,14.9,94.1,http://www.basketball-reference.com/boxscores/201511070PHI.html
0.457,0.207,31.9,103,15,0.471,0.138,29.5,94,18.3,99.6,http://www.basketball-reference.com/boxscores/201511070SAC.html
0.507,0.274,14.3,94,14.8,0.611,0.185,18.2,114,11.6,94.8,http://www.basketball-reference.com/boxscores/201511070SAS.html
0.363,0.143,24.5,79,12.6,0.5,0.203,22.5,89,20.4,93.2,http://www.basketball-reference.com/boxscores/201511070UTA.html
0.467,0.144,24.5,97,6.6,0.506,0.205,23.9,101,9.6,91.4,http://www.basketball-reference.com/boxscores/201511080CLE.html
